S.NO.,Product Name ,Product Specifications,Manufacture,Qty,Price,GST
320,BRAUN-STADLER (EPISIOTOMY SCISSORS),"22cm/8 1/4""",,1,343.2,12%
321,DEAVER STR,"16cm/6 1/4""",,1,316.8,12%
322,DOYEN STR,"18cm/ 7""",,1,448.8,12%
323,DOYEN CVD,"18cm/ 7""",,1,448.8,12%
324,RECTAL SCISSORS (LLOYD-DAVIES CVD)   GOLIGHER'S,"25cm/ 10""",,1,858,12%
325,STELZNER (HEAVY PATTERN) STRAIGHT,"30cm/ 12""",,1,1122,12%
326,STELZNER (HEAVY PATTERN) CVD,"30cm/ 12""",,1,1386,12%
327,STELZNER (CVD) SHORT BLADES (STRONG HEAVY PATTERN),"32cm/ 12 3/4""",,1,1386,12%
328,SIMS POINTED-ROUND (STR),"20cm/ 8""",,1,316.8,12%
329,SIMS POINTED-ROUND (STR),"23cm/ 9""",,1,448.8,12%
330,SIMS POINTED-ROUND (CVD),"20cm/ 8""",,1,316.8,12%
331,SIMS POINTED-ROUND (CVD),"23cm/ 9""",,1,448.8,12%
332,SIMS ROUND-ROUND (STR),"20cm/ 8""",,1,316.8,12%
333,SIMS ROUND-ROUND (STR),"23cm/ 9""",,1,448.8,12%
334,SIMS ROUND-ROUND (CVD),"20cm/ 8""",,1,316.8,12%
335,SIMS ROUND-ROUND (CVD),"23cm/ 9""",,1,448.8,12%
336,SIMS STR (POINTED-POINTED),"20cm/ 8""",,1,316.8,12%
337,WERTHEIM CVD,"14.5cm/ 5 3/4""",,1,237.6,12%
338,WERTHEIM CVD,"20cm/ 8""",,1,316.8,12%
339,WERTHEIM CVD,"23cm/ 9""",,1,448.8,12%
340,BOZEMANN MODIFF.,"23cm/ 9""",,1,0,12%
341,DISSECTING AND TISSUE FORCEPS STANDARD (SEREATED),"10.5cm/4 1/4""",,1,184.8,12%
342,DISSECTING AND TISSUE FORCEPS STANDARD (SEREATED),"13cm/ 5""",,1,184.8,12%
